seed,d_z,rung,K,E_inf,E_train,ce_bits,wall_train,wall_infer,diag_grad,diag_halvings,analytic_floor,min_atom_dist
8,6,iii_oracle,12740,34581,0,1.44269576227845e-06,0.0,0.6848874092102051,1.0,0,0.5594376555346194,0.24010842541106522
9,6,i_linear,7,19,80510075,0.4932975770684541,0.021459341049194336,0.0035660266876220703,1.1817747431810345e-17,0,0.49034293469183804,0.21787147954555058
9,6,ii_twolayer,513,1095,197253900000,0.0822679641706867,14.525746583938599,0.06310415267944336,0.07383467708336267,0,0.49034293469183804,0.21787147954555058
9,6,iii_oracle,12740,34581,0,1.44269576227845e-06,0.0,0.6814379692077637,1.0,0,0.49034293469183804,0.21787147954555058
0,8,i_linear,9,23,119519125,0.047325021984984075,0.021837234497070312,0.004796743392944336,3.058172751392249e-18,0,0.04566079326986432,0.4672680122277592
0,8,ii_twolayer,641,1351,243372300000,1.2306882311617587e-05,13.312655448913574,0.06339764595031738,1.1311165373983791e-05,0,0.04566079326986432,0.4672680122277592
0,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6820878982543945,1.0,0,0.04566079326986432,0.4672680122277592
1,8,i_linear,9,23,119519125,0.16284013985270843,0.02092576026916504,0.002957582473754883,2.0121165091629948e-17,0,0.16204329399756223,0.39969951594825653
1,8,ii_twolayer,641,1351,243372300000,0.00013424066122556068,13.345405578613281,0.06274175643920898,0.00011321281843293605,0,0.16204329399756223,0.39969951594825653
1,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.7087199687957764,1.0,0,0.16204329399756223,0.39969951594825653
2,8,i_linear,9,23,119519125,0.5242388434283605,0.02575206756591797,0.003266572952270508,1.5990337609103435e-17,0,0.5260239023896657,0.25757922683715284
2,8,ii_twolayer,641,1351,243372300000,0.0019999046633152207,13.334480047225952,0.06305694580078125,0.001887443607353832,2,0.5260239023896657,0.25757922683715284
2,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6704893112182617,1.0,0,0.5260239023896657,0.25757922683715284
3,8,i_linear,9,23,119519125,0.36369299590528736,0.021452903747558594,0.0038166046142578125,1.3423036994257304e-17,0,0.3652708366353374,0.3951010633386181
3,8,ii_twolayer,641,1351,243372300000,0.0003103444736750962,13.182899236679077,0.06282520294189453,0.0002960193959638201,2,0.3652708366353374,0.3951010633386181
3,8,iii_oracle,16380,45501,0,1.44269576227845e-06,0.0,0.6884152889251709,1.0,0,0.3652708366353374,0.3951010633386181
